676734d83e5c161573735842795,6040,59753,4.4.0,2778,None,1573735842795,0.0,0.0,0.0
0ddceaa40abbf1573743848849,4978,48407,4.4.0,7068,None,1573743848849,0.0,0.0,0.0
676734d83e5c161573735842795,6040,59753,4.4.0,2778,None,1573735842795,0.0,0.0,0.0
0ddceaa40abbf1573743848849,4978,48407,4.4.0,7068,None,1573743848849,0.0,0.0,0.0
676734d83e5c161573735842795,6040,59753,4.4.0,2778,None,1573735842795,0.0,0.0,0.0
0ddceaa40abbf1573743848849,4978,48407,4.4.0,7068,None,1573743848849,0.0,0.0,0.0
676734d83e5c161573735842795,6040,59753,4.4.0,2778,None,1573735842795,0.0,0.0,0.0
0ddceaa40abbf1573743848849,4978,48407,4.4.0,7068,ERROR,1573743848849,0.0,0.0,0.0
676734d83e5c161573735842795,6040,59753,4.4.0,2778,None,1573735842795,0.0,0.0,0.0
0ddceaa40abbf1573743848849,4978,48407,4.4.0,7068,ERROR,1573743848849,0.0,0.0,0.0
676734d83e5c161573735842795,6040,59753,4.4.0,2778,None,1573735842795,0.0,0.0,0.0
0ddceaa40abbf1573743848849,4978,48407,4.4.0,7068,2194.0,1573743848849,0.0,0.0,0.0
